mw,tw,semrel_synonym,semrel_antonym,semrel_hyponym,semrel_hypernym,collocation,cultural_ref,other
rigor mortis,stiff,,,,,1,,
rigor mortis,corpse,,,,,1,,
rigor mortis,rigid,,,,,,,
bachelor,man,,,,1,,,
bachelor,unmarried,1,,,,,,
bachelor,single,1,,,,,,
bachelor,wife,,,,,1,,
bachelor,wed,,1,,,,,
detroit,michigan,,,,1,,,
detroit,cars,,,,,1,,
detroit,motown,,,,,,1,
detroit,pistons,,,,,,1,
detroit,city,,,,1,,,
bonanza,cartwrights,,,,,,1,
bonanza,ponderosa,,,,,,1,
bonanza,western,,,,,1,,
bonanza,television,,,,,1,,
bonanza,ranch,,,,,1,,
scoop,ice cream,,,,,1,,
scoop,reporter,,,,,1,,
scoop,cone,,,,,1,,
scoop,newspaper,,,,,1,,
scoop,story,,,,1,,,
decipher,decode,1,,,,,,
decipher,interpret,1,,,,,,
decipher,secret,,,,,1,,
decipher,read,,,,1,,,
decipher,figure,1,,,,,,
swelter,heat,,,,,1,,
swelter,sweat,1,,,,,,
swelter,perspire,1,,,,,,
swelter,hot,,,,,1,,
swelter,temperature,,,,,1,,
gift,wrap,,,,,1,,
gift,present,1,,,,,,
gift,christmas,,,,,1,,
gift,birthday,,,,,1,,
gift,give,,,,,1,,
off,on,,1,,,,,
off,shut,1,,,,,,
off,bug spray,,,,,,1,
off,light switch,,,,,1,,
off,turn,,,,,1,,
conductor,orchestra,,,,,1,,
conductor,train,,,,,1,,
conductor,ticket,,,,,1,,
conductor,baton,,,,,1,,
conductor,lead,,,,,1,,
bald,head,,,,,1,,
bald,hair,,1,,,,,
bald,yul Brenner,,,,,,1,
bald,rug,,,,,,,1
bald,toupee,,,,,1,,
venus,love,,,,,,,
venus,goddess,,,,1,,,
venus,planet,,,,1,,,
venus,flytrap,1,,,,,,
venus,beauty,,,,,1,,
stuffing,turkey,,,,,1,,
stuffing,pillow,,,,,1,,
stuffing,bread,,,1,,,,
stuffing,dressing,,,1,,,,
stuffing,stove,,,,,1,,
coast,ocean,,,,,1,,
coast,guard,,,,,1,,
coast,land,,,,1,,,
coast,water,,,,,1,,
coast,seashore,,,1,,,,
carriage,baby,,,,,1,,
carriage,horse,,,,,1,,
carriage,push,,,,,1,,
carriage,pull,,,,,1,,
carriage,vehicle,,,,1,,,
card,send,,,,,1,,
card,deck,,,,,1,,
card,52,,,,,1,,
card,game,,,,1,,,
card,play,,,,1,,,
syrup,maple,,,,,1,,
syrup,pancakes,,,,,1,,
syrup,trees,,,,,1,,
syrup,sap,,,1,,,,
syrup,sweet,,,,,1,,
stagger,sway,1,,,,,,
stagger,drunk,,,,,1,,
stagger,walk,,,,1,,,
stagger,unsteady,,,,,1,,
stagger,straight,,1,,,,,
usher,theater,,,,,1,,
usher,seat,,,,,1,,
usher,movies,,,,,1,,
usher,wedding,,,,,1,,
usher,best man,,,1,,,,
asp,snake,,,,1,,,
asp,cleopatra,,,,,,1,
asp,poison,,,,,1,,
asp,bite,,,,,1,,
asp,egypt,,,,,,1,
cast,actor,,,,,1,,
cast,fishing,,,,1,,,
cast,broken,,,,,1,,
cast,plaster,1,,,,,,
cast,bone,,,,,1,,
canoe,boat,,,,1,,,
canoe,paddle,,,,,1,,
canoe,indian,,,,,,1,
canoe,water,,,,,1,,
canoe,birchbark,,,,,1,,
applause,cheers,,,1,,,,
applause,clapping,1,,,,,,
applause,ovation,,,1,,,,
applause,perform,,,,,1,,
applause,hand,,,,,1,,
emergency,crisis,1,,,,,,
emergency,911,,,,,,1,
emergency,help,,,,,1,,
emergency,call,,,,,1,,
emergency,situation,,,,,1,,
adolescent,adult,,1,,,,,
adolescent,teenager,1,,,,,,
adolescent,puberty,,,,,1,,
adolescent,young,1,,,,,,
adolescent,kid,,1,,,,,
dog sled,travel,,,,,1,,
dog sled,husky,,,,,1,,
dog sled,alaska,,,,,,1,
dog sled,snow,,,,,1,,
dog sled,mush,,,,,1,,
invitation,wedding,,,,,1,,
invitation,rsvp,,,,,1,,
invitation,mail,,,,1,,,
invitation,party,,,,,1,,
invitation,friend,,,,,1,,
love,hate,,1,,,,,
love,like,1,,,,,,
love,heart,,,,,1,,
love,marriage,,,,,1,,
love,fall,1,,,,,,
trophy,cup,1,,,,,,
trophy,prize,1,,,,,,
trophy,award,1,,,,,,
trophy,win,,,,,1,,
trophy,sports,,,,,1,,
harvest,fall,,,,,1,,
harvest,moon,,,,,1,,
harvest,reap,1,,,,,,
harvest,pick,1,,,,,,
harvest,autumn,,,,,1,,
champagne,wine,,,,1,,,
champagne,bubbles,,,,,1,,
champagne,cork,,,,,1,,
champagne,toast,,,,,1,,
champagne,dom perignon,,,1,,,,
black tie,formal,,,,,1,,
black tie,tuxedo,,,,,1,,
black tie,tails,,,,,1,,
black tie,affairs,,,,,1,,
black tie,collar,,,,,1,,
fax machine,copy,,,,,,,
fax machine,telephone,,,,,1,,
fax machine,send,,,,,1,,
fax machine,electronic,,,,,1,,
fax machine,fast,,,,,1,,
chariot,race,,,,,1,,
chariot,rome,,,,,,1,
chariot,horse,,,,,1,,
chariot,ben-hur,,,,,,1,
chariot,wheels,,,,,1,,
magazine,read,,,,,1,,
magazine,articles,,,,,1,,
magazine,subscribe,,,,,1,,
magazine,stories,,,,,1,,
magazine,photos,,,,,1,,
cartoon,comics,1,,,,,,
cartoon,animated,,,,,1,,
cartoon,saturday,,,,,1,,
cartoon,television,,,,,1,,
cartoon,character,,,,,1,,
mustard,frankfurter,,,,,,1,
mustard,hot dog,,,,,1,,
mustard,condiment,,,,1,,,
mustard,ketchup,,1,,,,,
mustard,yellow,,,,,1,,
plant,pot,,,,,1,,
plant,water,,,,,1,,
plant,green thumb,,,,,1,,
plant,leaves,,,,,1,,
plant,grow,,,,,1,,
carpenter,woodworker,1,,,,,,
carpenter,build,,,,,1,,
carpenter,cabinetmaker,1,,,,,,
carpenter,construct,,,,,1,,
carpenter,tools,,,,,1,,
hook,fish,,,,,1,,
hook,captain,,,,,,1,
hook,worm,,,,,1,,
hook,ladder,,,,,1,,
hook,sinker,,,,,,,1
wave,flag,,,,,1,,
wave,hand,,,,,1,,
wave,surfing,,,,,1,,
wave,ocean,,,,1,,,
wave,tidal,,,,,1,,
siren,fire,,,,,1,,
siren,police,,,,,1,,
siren,ambulance,,,,,1,,
siren,hear,,,,,1,,
siren,noise,,,,1,,,
diet soda,calories,,,,,1,,
diet soda,carbonated,,,,,1,,
diet soda,drink,,,,1,,,
diet soda,beverage,,,,1,,,
diet soda,pop,,,,,1,,
owl,bird,,,,1,,,
owl,wise,,,,,1,,
owl,hoot,,,,,1,,
owl,night,,,,,1,,
owl,tree,,,,,1,,
flier,pilot,1,,,,,,
flier,airplane,,,,,1,,
flier,frequent,,,,,1,,
flier,brochure,1,,,,,,
flier,leaflet,1,,,,,,
pastry,danish,1,,,,,,
pastry,bakery,,,,,1,,
pastry,doughnuts,,,1,,,,
pastry,dessert,,,,1,,,
pastry,eat,,,,,1,,
question mark,punctuation,,,,1,,,
question mark,sentence,,,,,1,,
question mark,exclamation,,1,,,,,
question mark,period,,1,,,,,
question mark,ask,,,,,1,,
pneumonia,disease,,,,1,,,
pneumonia,lung,,,,,1,,
pneumonia,illness,,,,1,,,
pneumonia,catch,,,,,1,,
pneumonia,cold,,,,1,,,
prison,jail,1,,,,,,
prison,bars,1,,,,,,
prison,lockup,1,,,,,,
prison,cell,,,,,1,,
prison,convict,,,,,1,,
tummy,abdomen,1,,,,,,
tummy,navel,1,,,,,,
tummy,sit-ups,,,,,1,,
tummy,stomachache,,,,,1,,
tummy,belly,1,,,,,,
cranberry,red,,,,,1,,
cranberry,bog,,,,1,,,
cranberry,juice,,,,,1,,
cranberry,thanksgiving,,,,,1,,
cranberry,ocean spray,,,,,,1,
lumber,wood,1,,,,,,
lumber,timber,1,,,,,,
lumber,logs,,,,,1,,
lumber,trees,1,,,,,,
lumber,build,,,,,1,,
porch,veranda,1,,,,,,
porch,deck,1,,,,,,
porch,patio,1,,,,,,
porch,screened,,,,,1,,
porch,house,,,,,1,,
dip,vegetable,,,,,1,,
dip,swim,1,,,,,,
dip,chip,,,,,1,,
dip,stick,,,,,1,,
dip,oil,,,,,1,,
voodoo,doll,,,,,1,,
voodoo,pins,,,,,1,,
voodoo,cult,,,,1,,,
voodoo,zombies,,,,,1,,
voodoo,curse,1,,,,,,
purple,color,,,,1,,,
purple,blue,1,,,,,,
purple,violet,1,,,,,,
purple,heart,,,,,,,1
purple,lavender,,,,,1,,
australia,kangaroo,,,,,1,,
australia,down under,1,,,,,,
australia,koala,,,,,1,,
australia,crocodile dundee,,,,,,1,
australia,outback,,,,,1,,
caption,words,,,,,1,,
caption,photo,,,,,1,,
caption,description,1,,,,,,
caption,subtitle,1,,,,,,
caption,cartoons,,,,,1,,
halo,angel,,,,,1,,
halo,heaven,,,,,1,,
halo,good,,,,,1,,
halo,head,,,,,1,,
halo,wings,,,,,1,,
chaperone,escort,1,,,,,,
chaperone,supervisor,1,,,,,,
chaperone,adult,1,,,,,,
chaperone,school,,,,,1,,
chaperone,go,,,,,1,,
geometry,angle,,,,,1,,
geometry,math,,,,1,,,
geometry,shape,,,,,1,,
geometry,school,,,,,1,,
geometry,algebra,,,,1,,,
billiards,pool,1,,,,,,
billiards,game,,,,1,,,
billiards,pocket,,,,,,,
billiards,eightball,1,,,,,,
billiards,cue stick,,,,,1,,
ointment,rub,,,,,1,,
ointment,lotion,1,,,,,,
ointment,cream,1,,,,,,
ointment,medication,,,,1,,,
ointment,skin,,,,,1,,
scenery,view,1,,,,,,
scenery,beautiful,,,,,1,,
scenery,look,,,,,1,,
scenery,landscape,1,,,,,,
scenery,change,,,,,1,,
pat,head,,,,,1,,
pat,back,,,,,1,,
pat,butter,,,,,1,,
pat,hand,,,,,1,,
pat,touch,1,,,,,,
career,profession,1,,,,,,
career,job,1,,,,,,
career,vocation,1,,,,,,
career,living,,,,,1,,
career,work,1,,,,,,
billy the kid,outlaw,,,,1,,,
billy the kid,western,,,,,1,,
billy the kid,cowboy,,,,1,,,
billy the kid,bank robber,,,,1,,,
billy the kid,young,,,,,1,,
ax,lizzie borden,,,,,,1,
ax,hatchet,1,,,,,,
ax,chop,,,,,1,,
ax,wood,,,,,1,,
ax,lumberjack,,,,,1,,
flashlight,batteries,,,,,1,,
flashlight,beam,,,,,1,,
flashlight,shine,,,,,1,,
flashlight,dark,,,,,1,,
flashlight,hand,,,,,1,,
windfall,money,,,,,1,,
windfall,unexpected,,,,,1,,
windfall,good,,,,,1,,
windfall,gift,1,,,,,,
windfall,fortune,1,,,,,,
butcher,meat,,,,,1,,
butcher,slaughter,1,,,,,,
butcher,block,,,,,1,,
butcher,knife,,,,,1,,
butcher,cut,,,,,1,,
skunk,animal,,,,1,,,
skunk,stripe,,,,,1,,
skunk,stink,,,,,1,,
skunk,spray,,,,,1,,
skunk,smell,,,,,1,,
valentine,cupid,,,,,1,,
valentine,february 14,,,,,,1,
valentine,sweetheart,,,,,1,,
valentine,red,,,,,1,,
valentine,love,,,,,1,,
basement,cellar,1,,,,,,
basement,bottom,1,,,,,,
basement,house,,,,,1,,
basement,hatchway,,,,,1,,
basement,downstairs,1,,,,,,
hickey,bite,,,,1,,,
hickey,neck,,,,,1,,
hickey,red,,,,,1,,
hickey,mark,,,,1,,,
hickey,kissing,,,,,1,,
bulb,light,1,,,,,,
bulb,tulip,,,,,1,,
bulb,screw,,,,,1,,
bulb,glass,,,,,1,,
bulb,watt,,,,,1,,
javelin,spear,1,,,,,,
javelin,throw,,,,,1,,
javelin,olympic,,,,,1,,
javelin,track-and-field,,,,,1,,
javelin,event,,,,,1,,
busboy,restaurant,,,,,1,,
busboy,waiter,,,,1,,,
busboy,dishes,,,,,1,,
busboy,clears,,,,,1,,
busboy,tables,,,,,1,,
monogram,letters,1,,,,,,
monogram,initials,1,,,,,,
monogram,personalize,,,,,1,,
monogram,name,,,,,1,,
monogram,engraving,,,,,1,,
sneaker,footwear,,,,1,,,
sneaker,running,,,,,1,,
sneaker,shoelaces,,,,,1,,
sneaker,high-tops,,,1,,,,
sneaker,basketball,,,,,1,,
saddle shoes,feet,,,,,1,,
saddle shoes,white,,,,,1,,
saddle shoes,bucks,,,,,1,,
saddle shoes,1950s,,,,,,1,
saddle shoes,two-tone,,,,,1,,
hose,water,,,,,1,,
hose,rubber,,,,,1,,
hose,stockings,1,,,,,,
hose,panty,1,,,,,,
hose,sprinkler,1,,,,,,
babe ruth,baseball,,,,,,1,
babe ruth,home run,,,,,,1,
babe ruth,new york yankees,,,,,,1,
babe ruth,candy bar,,,,,,1,
babe ruth,sport,,,,,,1,
giraffe,animal,,,,1,,,
giraffe,neck,,,,,1,,
giraffe,tall,,,,,1,,
giraffe,long,,,,,1,,
giraffe,spotted,,,,,1,,
sulk,pout,1,,,,,,
sulk,mope,1,,,,,,
sulk,frown,1,,,,,,
sulk,kids,,,,,1,,
sulk,way,,,,,,,1
pickpocket,thief,,,,1,,,
pickpocket,wallet,,,,,1,,
pickpocket,crowds,,,,,1,,
pickpocket,steal,,,,,1,,
pickpocket,take,,,,,1,,
race horse,thoroughbred,1,,,,,,
race horse,kentucky derby,,,,,,1,
race horse,bet,,,,,1,,
race horse,track,,,,,1,,
race horse,jockey,,,,,1,,
greenhouse,glass,,,,,1,,
greenhouse,plants,,,,,1,,
greenhouse,flowers,,,,,1,,
greenhouse,grow,,,,,1,,
greenhouse,warm,,,,,1,,
sauna,steam,,,,,1,,
sauna,room,,,,1,,,
sauna,hot,,,,,1,,
sauna,sweat,,,,,1,,
sauna,coals,,,,,1,,
rhyme,poem,1,,,,,,
rhyme,sound,,,,1,,,
rhyme,words,,,,1,,,
rhyme,alike,,,,,1,,
rhyme,nursery,,,,,1,,
jersey,new,,,,,1,,
jersey,state,,,,1,,,
jersey,shirt,1,,,,,,
jersey,wear,,,,,1,,
jersey,football,,,,,1,,
menace,dennis,,,,,,1,
menace,mr. wilson,,,,,,1,
menace,mischievous,1,,,,,,
menace,boy,,,,,1,,
menace,comic strip,,,,1,,,
infant,baby,1,,,,,,
infant,newborn,1,,,,,,
infant,child,1,,,,,,
infant,young,,,,,1,,
infant,little,,,,,1,,
basket,wicker,1,,,,,,
basket,weaving,,,,,1,,
basket,easter,,,,,1,,
basket,eggs,,,,,1,,
basket,waste,,,,,1,,
barrel,keg,1,,,,,,
barrel,container,,,,1,,,
barrel,wooden,,,,,1,,
barrel,monkeys,,,,,1,,
barrel,niagara falls,,,,,,1,
vacation,trip,,,,,1,,
vacation,work,,1,,,,,
vacation,away,,,,,1,,
vacation,summer,,,,,1,,
vacation,travel,,,,,1,,
bandana,kerchief,1,,,,,,
bandana,scarf,1,,,,,,
bandana,neck,,,,,1,,
bandana,wear,,,,,1,,
bandana,cowboy,,,,,1,,
toilet,throne,1,,,,,,
toilet,john,1,,,,,,
toilet,flush,,,,,1,,
toilet,sit,,,,,1,,
toilet,bathroom,,,,,1,,
trunk,elephant,,,,,1,,
trunk,car,,,,,1,,
trunk,suitcase,,,,,1,,
trunk,tree,,,,,1,,
trunk,spare tire,,,,,1,,
hotel,motel,1,,,,,,
hotel,room service,,,,,1,,
hotel,check-in,,,,,1,,
hotel,sleep,,,,,1,,
hotel,stay,,,,,1,,
arthritis,rheumatism,,,,1,,,
arthritis,aching,,,,,1,,
arthritis,joints,,,,,1,,
arthritis,old,,,,,1,,
arthritis,pain,,,,,1,,
beauty,women,,,,,1,,
beauty,contest,,,,,1,,
beauty,skin-deep,,,,,1,,
beauty,pretty,,,,,1,,
beauty,good-looking,1,,,,,,
cactus,grow,,,,,1,,
cactus,needles,,,,,1,,
cactus,desert,,,,,1,,
cactus,plant,,,,1,,,
cactus,sharp,,,,,1,,
frown,sad,,,,,1,,
frown,unhappy,,,,,1,,
frown,mouth,,,,,1,,
frown,face,,,,,1,,
frown,smile,,1,,,,,
outhouse,toilet,1,,,,,,
outhouse,john,1,,,,,,
outhouse,half-moon,,,,,1,,
outhouse,bathroom,1,,,,,,
outhouse,latrine,1,,,,,,
hero,admire,,,,,1,,
hero,saves,,,,,1,,
hero,sports,,,,,1,,
hero,life,,,,,1,,
hero,brave,,,,,1,,
briefcase,work,,,,,1,,
briefcase,papers,,,,,1,,
briefcase,business,,,,,1,,
briefcase,carry,,,,,1,,
briefcase,attache,1,,,,,,
pad,launch,,,,,1,,
pad,apartment,,,,,1,,
pad,shoulder,,,,,1,,
pad,paper,1,,,,,,
pad,note,,,,,1,,
ping pong,game,,,,,,,
ping pong,ball,,,,1,,,
ping pong,paddle,,,,,1,,
ping pong,table,,,,,1,,
ping pong,tennis,,,,1,,,
picket,fence,1,,,,,,
picket,strike,1,,,,,,
picket,line,,,,,1,,
picket,yard,,,,,1,,
picket,wood,,,,,1,,
anchor,ship,,,,,1,,
anchor,boat,,,,,1,,
anchor,news,,,,,1,,
anchor,drop,,,,,1,,
anchor,aweigh,,,,,1,,
luggage,baggage,1,,,,,,
luggage,suitcase,1,,,,,,
luggage,travel,,,,,1,,
luggage,lose,,,,,1,,
luggage,pack,,,,,1,,
tailspin,plane,,,,,1,,
tailspin,crash,1,,,,,,
tailspin,spiral,1,,,,,,
tailspin,down,,,,,1,,
tailspin,fall,1,,,,,,
golf,course,,,,,1,,
golf,tree,,,,,1,,
golf,clubs,,,,,1,,
golf,caddy,,,,,1,,
golf,ball,,,,,1,,
visa,passport,,,,,1,,
visa,foreign,,,,,1,,
visa,apply,,,,,1,,
visa,american express,,,,,,1,
visa,credit card,,,,1,,,
cheer,yell,1,,,,,,
cheer,bar,,,,,,1,
cheer,toast,1,,,,,,
cheer,fans,,,,,1,,
cheer,hurrah,1,,,,,,
reservoir,supply,1,,,,,,
reservoir,water,,,,,1,,
reservoir,drinking,,,,,1,,
reservoir,lake,,,,,1,,
reservoir,storage,1,,,,,,
infinity,limitless,1,,,,,,
infinity,eternity,1,,,,,,
infinity,boundless,1,,,,,,
infinity,measure,,,,,1,,
infinity,forever,1,,,,,,
tunnel,underground,,,,,1,,
tunnel,love,,,,,1,,
tunnel,cars,,,,,1,,
tunnel,mountains,,,,,1,,
tunnel,hole,,,,,1,,
khaki,cloth,,,,,1,,
khaki,material,,,,,1,,
khaki,tan,,,,1,,,
khaki,military,,,,,1,,
khaki,uniform,,,,,1,,
ambassador,diplomat,1,,,,,,
ambassador,united nations,,,,,1,,
ambassador,country,,,,,1,,
ambassador,embassy,,,,,1,,
ambassador,foreign,,,,,1,,
ranch,cowboys,,,,,1,,
ranch,cattle,,,,,1,,
ranch,west,,,,,1,,
ranch,horses,,,,,1,,
ranch,land,,,,1,,,
jukebox,songs,,,,,1,,
jukebox,music,,,,,1,,
jukebox,machine,,,,1,,,
jukebox,records,,,,,1,,
jukebox,quarters,,,,,1,,
ufo,alien,,,,,1,,
ufo,spaceship,,,,1,,,
ufo,see,,,,,1,,
ufo,sky,,,,,1,,
ufo,lights,,,,,1,,
millionaire,money,,,,,1,,
millionaire,wealthy,1,,,,,,
millionaire,rich,1,,,,,,
millionaire,lottery,,,,,1,,
millionaire,dollars,,,,,1,,
sunglasses,glare,,,,,1,,
sunglasses,shades,1,,,,,,
sunglasses,ray,,,,,1,,
sunglasses,eyes,,,,,1,,
sunglasses,dark,,,,,1,,
cannery,row,,,,,1,,
cannery,food,,,,,1,,
cannery,steinbeck,,,1,,,,
cannery,packed,,,,,1,,
cannery,tuna fish,,,,,1,,
copycat,imitator,1,,,,,,
copycat,ape,1,,,,,,
copycat,mimic,1,,,,,,
copycat,like,,,,,1,,
copycat,same,,,,,1,,
flat,chest,,,,,1,,
flat,tire,,,,,1,,
flat,broke,,,,,1,,
flat,apartment,1,,,,,,
flat,pancake,,,,,1,,
elf,fairy,1,,,,,,
elf,leprechaun,,,1,,,,
elf,little,,,,,1,,
elf,santa,,,,,1,,
elf,keebler,,,1,,,,
iron,steel,1,,,,,,
iron,metal,,,,1,,,
iron,golf,,,,,1,,
iron,curtain,,,,,1,,
iron,press,,,,,1,,
antidote,poison,,1,,,,,
antidote,cure,,,,,1,,
antidote,remedy,1,,,,,,
antidote,drug,,,,1,,,
antidote,counteract,,,,,1,,
thirst,drink,,,,,1,,
thirst,dry,,,,,1,,
thirst,water,,,,,1,,
thirst,quench,,,,,1,,
thirst,liquid,,,,,1,,
software,program,1,,,,,,
software,computer,,,,,1,,
software,run,,,,,1,,
software,floppy disk,,,,,1,,
software,language,,,,,1,,
quintuplets,babies,,,,1,,,
quintuplets,five,,,,,1,,
quintuplets,birth,,,,,1,,
quintuplets,more,,,,,1,,
quintuplets,multiple,,,,,1,,
torpedo,submarine,,,,,1,,
torpedo,ship,,,,,1,,
torpedo,missile,1,,,,,,
torpedo,underwater,,,,,1,,
torpedo,explode,,,,,1,,
accident,mistake,,,,,1,,
accident,car,,,,,1,,
accident,crash,1,,,,,,
accident,traffic,,,,,1,,
accident,drive,,,,,1,,
ransom,kidnap,,,,,1,,
ransom,money,,,,1,,,
ransom,hostage,,,,,1,,
ransom,payment,1,,,,,,
ransom,take,,,,,1,,
cantaloupe,melon,1,,,,,,
cantaloupe,orange,,,,,1,,
cantaloupe,fruit,,,,1,,,
cantaloupe,seeds,,,,,1,,
cantaloupe,honeydew,1,,,,,,
candle,wick,,,,,1,,
candle,wax,,,,,1,,
candle,flame,,,,,1,,
candle,burn,,,,,1,,
candle,light,,,,,1,,
big ben,london,,,,,,1,
big ben,clock,,,,1,,,
big ben,landmark,,,,,1,,
big ben,time,,,,,1,,
big ben,england,,,,,,1,
neighborhood,live,,,,,1,,
neighborhood,street,,,,,1,,
neighborhood,block,,,,,1,,
neighborhood,house,,,,,1,,
neighborhood,mister rogers,,,,,,1,
kamikaze,pilot,,,,1,,,
kamikaze,flier,,,,1,,,
kamikaze,plane,,,,,1,,
kamikaze,suicidal,,,,,1,,
kamikaze,japanese,,,,,1,,
thermos,bottle,,,,,1,,
thermos,hot,,,,,1,,
thermos,cold,,,,,1,,
thermos,lunch box,,,,1,,,
thermos,drinks,,,,,1,,
vampire,transylvania,,,,,,1,
vampire,dracula,,,,,,1,
vampire,blood,,,,,1,,
vampire,coffin,,,,,1,,
vampire,neck,,,,,1,,
cottage,country,,,,,1,,
cottage,cheese,,,,,1,,
cottage,house,,,,1,,,
cottage,cabin,1,,,,,,
cottage,little,,,,,1,,
valet,parking,,,,,1,,
valet,drive,,,,,1,,
valet,tip,,,,,1,,
valet,car,,,,,1,,
valet,restaurant,,,,,1,,
claustrophobia,fear,,,,1,,,
claustrophobia,close,,,,,1,,
claustrophobia,feeling,,,,1,,,
claustrophobia,trapped,,,,,1,,
claustrophobia,panic,,,,1,,,
gold,wedding ring,,,,,1,,
gold,metal,,,,1,,,
gold,jewelry,,,,,1,,
gold,silver,,,,,1,,
gold,carat,,,,,1,,
grand,parent,,,,,1,,
grand,thousand,,,,,1,,
grand,stand,,,,,1,,
grand,piano,,,,,1,,
grand,station,,,,,1,,
handwriting,penmanship,1,,,,,,
handwriting,signature,,,1,,,,
handwriting,typing,,1,,,,,
handwriting,read,,,,,1,,
handwriting,note,,,,,1,,
snowman,frosty,,,,,,1,
snowman,abominable,,,,,1,,
snowman,build,,,,,1,,
snowman,winter,,,,,1,,
snowman,make,,,,,1,,
scorpion,desert,,,,,1,,
scorpion,sting,,,,,,1,
scorpion,tail,,,,,1,,
scorpion,poison,,,,,1,,
scorpion,crawl,,,,,1,,
frame,border,1,,,,,,
frame,picture,,,,,1,,
frame,photo,,,,,1,,
frame,eyeglasses,,,,,1,,
frame,painting,,,,,1,,
anniversary,date,,,,1,,,
anniversary,marriage,,,,,1,,
anniversary,husband,,,,,1,,
anniversary,wife,,,,,1,,
anniversary,celebrate,,,,,1,,
pencil,lead,,,,,1,,
pencil,write,,,,,1,,
pencil,eraser,,1,,,,,
pencil,sharpen,,,,,1,,
pencil,ink,,,,,1,,
university,degree,,,,,1,,
university,campus,,,,,1,,
university,professor,,,,,1,,
university,college,1,,,,,,
university,school,,,,1,,,
beard,man,,,,,1,,
beard,face,,,,,1,,
beard,hair,,,,1,,,
beard,shave,,,,,1,,
beard,mustache,1,,,,,,
