mw,tw
champagne,bubbles
champagne,cork
champagne,toast
champagne,dom perignon
black tie,formal
black tie,tuxedo
black tie,tails
black tie,affairs
black tie,collar
fax machine,copy
fax machine,telephone
fax machine,send
fax machine,electronic
fax machine,fast
chariot,race
chariot,rome
chariot,horse
chariot,ben-hur
chariot,wheels
magazine,read
magazine,articles
magazine,subscribe
magazine,stories
magazine,photos
cartoon,comics
cartoon,animated
cartoon,saturday
cartoon,television
cartoon,character
mustard,frankfurter
mustard,hot dog
mustard,condiment
mustard,ketchup
mustard,yellow
plant,pot
plant,water
plant,green thumb
plant,leaves
plant,grow
carpenter,woodworker
carpenter,build
carpenter,cabinetmaker
carpenter,construct
carpenter,tools
hook,fish
hook,captain
hook,worm
hook,ladder
hook,sinker
wave,flag
wave,hand
wave,surfing
wave,ocean
wave,tidal
siren,fire
siren,police
siren,ambulance
siren,hear
siren,noise
diet soda,calories
diet soda,carbonated
diet soda,drink
diet soda,beverage
diet soda,pop
owl,bird
owl,wise
owl,hoot
owl,night
owl,tree
flier,pilot
flier,airplane
flier,frequent
flier,brochure
flier,leaflet
pastry,danish
pastry,bakery
pastry,doughnuts
pastry,dessert
pastry,eat
question mark,punctuation
question mark,sentence
question mark,exclamation
question mark,period
question mark,ask
pneumonia,disease
pneumonia,lung
pneumonia,illness
pneumonia,catch
pneumonia,cold
prison,jail
prison,bars
prison,lockup
prison,cell
prison,convict
tummy,abdomen
tummy,navel
tummy,sit-ups
tummy,stomachache
tummy,belly
cranberry,red
cranberry,bog
cranberry,juice
cranberry,thanksgiving
cranberry,ocean spray
lumber,wood
lumber,timber
lumber,logs
lumber,trees
lumber,build
porch,veranda
porch,deck
porch,patio
porch,screened
porch,house
dip,vegetable
dip,swim
dip,chip
dip,stick
dip,oil
voodoo,doll
voodoo,pins
voodoo,cult
voodoo,zombies
voodoo,curse
purple,color
purple,blue
purple,violet
purple,heart
purple,lavender
australia,kangaroo
australia,down under
australia,koala
australia,crocodile dundee
australia,outback
caption,words
caption,photo
caption,description
caption,subtitle
caption,cartoons
halo,angel
halo,heaven
halo,good
halo,head
halo,wings
chaperone,escort
chaperone,supervisor
chaperone,adult
chaperone,school
chaperone,go
geometry,angle
geometry,math
geometry,shape
geometry,school
geometry,algebra
billiards,pool
billiards,game
billiards,pocket
billiards,eightball
billiards,cue stick
ointment,rub
ointment,lotion
ointment,cream
ointment,medication
ointment,skin
scenery,view
scenery,beautiful
scenery,look
scenery,landscape
scenery,change
pat,head
pat,back
pat,butter
pat,hand
pat,touch
career,profession
career,job
career,vocation
career,living
career,work
billy the kid,outlaw
billy the kid,western
billy the kid,cowboy
billy the kid,bank robber
billy the kid,young
ax,lizzie borden
ax,hatchet
ax,chop
ax,wood
ax,lumberjack
flashlight,batteries
flashlight,beam
flashlight,shine
flashlight,dark
flashlight,hand
windfall,money
windfall,unexpected
windfall,good
windfall,gift
windfall,fortune
butcher,meat
butcher,slaughter
butcher,block
butcher,knife
butcher,cut
skunk,animal
skunk,stripe
skunk,stink
skunk,spray
skunk,smell
valentine,cupid
valentine,february 14
valentine,sweetheart
valentine,red
valentine,love
basement,cellar
basement,bottom
basement,house
basement,hatchway
basement,downstairs
hickey,bite
hickey,neck
hickey,red
hickey,mark
hickey,kissing
bulb,light
bulb,tulip
bulb,screw
bulb,glass
bulb,watt
javelin,spear
javelin,throw
javelin,olympic
javelin,track-and-field
javelin,event
busboy,restaurant
busboy,waiter
busboy,dishes
busboy,clears
busboy,tables
monogram,letters
monogram,initials
monogram,personalize
monogram,name
monogram,engraving
sneaker,footwear
sneaker,running
sneaker,shoelaces
sneaker,high-tops
sneaker,basketball
saddle shoes,feet
saddle shoes,white
saddle shoes,bucks
saddle shoes,1950s
saddle shoes,two-tone
hose,water
hose,rubber
hose,stockings
hose,panty
hose,sprinkler
babe ruth,baseball
babe ruth,home run
babe ruth,new york yankees
babe ruth,candy bar
babe ruth,sport
giraffe,animal
giraffe,neck
giraffe,tall
giraffe,long
giraffe,spotted
sulk,pout
sulk,mope
sulk,frown
sulk,kids
sulk,way
pickpocket,thief
pickpocket,wallet
pickpocket,crowds
pickpocket,steal
pickpocket,take
race horse,thoroughbred
race horse,kentucky derby
race horse,bet
race horse,track
race horse,jockey
greenhouse,glass
greenhouse,plants
greenhouse,flowers
greenhouse,grow
greenhouse,warm
sauna,steam
sauna,room
sauna,hot
sauna,sweat
sauna,coals
rhyme,poem
rhyme,sound
rhyme,words
rhyme,alike
rhyme,nursery
jersey,new
jersey,state
jersey,shirt
jersey,wear
jersey,football
menace,dennis
menace,mr. wilson
menace,mischievous
menace,boy
menace,comic strip
infant,baby
infant,newborn
infant,child
infant,young
infant,little
basket,wicker
basket,weaving
basket,easter
basket,eggs
basket,waste
barrel,keg
barrel,container
barrel,wooden
barrel,monkeys
barrel,niagara falls
vacation,trip
vacation,work
vacation,away
vacation,summer
vacation,travel
bandana,kerchief
bandana,scarf
bandana,neck
bandana,wear
bandana,cowboy
toilet,throne
toilet,john
toilet,flush
toilet,sit
toilet,bathroom
trunk,elephant
trunk,car
trunk,suitcase
trunk,tree
trunk,spare tire
hotel,motel
hotel,room service
hotel,check-in
hotel,sleep
hotel,stay
arthritis,rheumatism
arthritis,aching
arthritis,joints
arthritis,old
arthritis,pain
beauty,women
beauty,contest
beauty,skin-deep
beauty,pretty
beauty,good-looking
cactus,grow
cactus,needles
cactus,desert
cactus,plant
cactus,sharp
frown,sad
frown,unhappy
frown,mouth
frown,face
frown,smile
outhouse,toilet
outhouse,john
outhouse,half-moon
outhouse,bathroom
outhouse,latrine
hero,admire
hero,saves
hero,sports
hero,life
hero,brave
briefcase,work
briefcase,papers
briefcase,business
briefcase,carry
briefcase,attache
pad,launch
pad,apartment
pad,shoulder
pad,paper
pad,note
ping pong,game
ping pong,ball
ping pong,paddle
ping pong,table
ping pong,tennis
picket,fence
picket,strike
picket,line
picket,yard
picket,wood
anchor,ship
anchor,boat
anchor,news
anchor,drop
anchor,aweigh
luggage,baggage
luggage,suitcase
luggage,travel
luggage,lose
luggage,pack
tailspin,plane
tailspin,crash
tailspin,spiral
tailspin,down
tailspin,fall
golf,course
golf,tree
golf,clubs
golf,caddy
golf,ball
visa,passport
visa,foreign
visa,apply
visa,american express
visa,credit card
cheer,yell
cheer,bar
cheer,toast
cheer,fans
cheer,hurrah
reservoir,supply
reservoir,water
reservoir,drinking
reservoir,lake
reservoir,storage
infinity,limitless
infinity,eternity
infinity,boundless
infinity,measure
infinity,forever
tunnel,underground
tunnel,love
tunnel,cars
tunnel,mountains
tunnel,hole
khaki,cloth
khaki,material
khaki,tan
khaki,military
khaki,uniform
ambassador,diplomat
ambassador,united nations
ambassador,country
ambassador,embassy
ambassador,foreign
ranch,cowboys
ranch,cattle
ranch,west
ranch,horses
ranch,land
jukebox,songs
jukebox,music
jukebox,machine
jukebox,records
jukebox,quarters
ufo,alien
ufo,spaceship
ufo,see
ufo,sky
ufo,lights
millionaire,money
millionaire,wealthy
millionaire,rich
millionaire,lottery
millionaire,dollars
sunglasses,glare
sunglasses,shades
sunglasses,ray
sunglasses,eyes
sunglasses,dark
cannery,row
cannery,food
cannery,steinbeck
cannery,packed
cannery,tuna fish
copycat,imitator
copycat,ape
copycat,mimic
copycat,like
copycat,same
flat,chest
flat,tire
flat,broke
flat,apartment
flat,pancake
elf,fairy
elf,leprechaun
elf,little
elf,santa
elf,keebler
iron,steel
iron,metal
iron,golf
iron,curtain
iron,press
antidote,poison
antidote,cure
antidote,remedy
antidote,drug
antidote,counteract
thirst,drink
thirst,dry
thirst,water
thirst,quench
thirst,liquid
software,program
software,computer
software,run
software,floppy disk
software,language
quintuplets,babies
quintuplets,five
quintuplets,birth
quintuplets,more
quintuplets,multiple
torpedo,submarine
torpedo,ship
torpedo,missile
torpedo,underwater
torpedo,explode
accident,mistake
accident,car
accident,crash
accident,traffic
accident,drive
ransom,kidnap
ransom,money
ransom,hostage
ransom,payment
ransom,take
cantaloupe,melon
cantaloupe,orange
cantaloupe,fruit
cantaloupe,seeds
cantaloupe,honeydew
candle,wick
candle,wax
candle,flame
candle,burn
candle,light
big ben,london
big ben,clock
big ben,landmark
big ben,time
big ben,england
neighborhood,live
neighborhood,street
neighborhood,block
neighborhood,house
neighborhood,mister rogers
kamikaze,pilot
kamikaze,flier
kamikaze,plane
kamikaze,suicidal
kamikaze,japanese
thermos,bottle
thermos,hot
thermos,cold
thermos,lunch box
thermos,drinks
vampire,transylvania
vampire,dracula
vampire,blood
vampire,coffin
vampire,neck
cottage,country
cottage,cheese
cottage,house
cottage,cabin
cottage,little
valet,parking
valet,drive
valet,tip
valet,car
valet,restaurant
claustrophobia,fear
claustrophobia,close
claustrophobia,feeling
claustrophobia,trapped
claustrophobia,panic
gold,wedding ring
gold,metal
gold,jewelry
gold,silver
gold,carat
grand,parent
grand,thousand
grand,stand
grand,piano
grand,station
handwriting,penmanship
handwriting,signature
handwriting,typing
handwriting,read
handwriting,note
snowman,frosty
snowman,abominable
snowman,build
snowman,winter
snowman,make
scorpion,desert
scorpion,sting
scorpion,tail
scorpion,poison
scorpion,crawl
frame,border
frame,picture
frame,photo
frame,eyeglasses
frame,painting
anniversary,date
anniversary,marriage
anniversary,husband
anniversary,wife
anniversary,celebrate
pencil,lead
pencil,write
pencil,eraser
pencil,sharpen
pencil,ink
university,degree
university,campus
university,professor
university,college
university,school
beard,man
beard,face
beard,hair
beard,shave
beard,mustache
key,door
key,open
key,car
key,lock
key,house
acne,zits
acne,teenager
acne,pimple
acne,face
acne,clearasil
landscape,lawn
landscape,plant
landscape,painting
landscape,scene
landscape,gardener
subway,underground
subway,train
subway,tracks
subway,city
subway,token
crime,arrest
crime,law
crime,illegal
crime,commit
crime,prison
adhesive,glue
adhesive,sticky
adhesive,paste
adhesive,tape
adhesive,together
cheddar,wisconsin
cheddar,cheese
cheddar,sharp
cheddar,dairy
cheddar,cracker
engine,motor
engine,car
engine,fire
engine,train
engine,hood
intelligent,dumb
intelligent,smart
intelligent,brainy
intelligent,brilliant
intelligent,stupid
zebra,black
zebra,white
zebra,stripes
zebra,horse
zebra,africa
hunk,attractive
hunk,gorgeous
hunk,handsome
hunk,guy
hunk,look
pose,photograph
pose,model
pose,picture
pose,stand
pose,still
croissant,crescent
croissant,roll
croissant,pastry
croissant,french
croissant,dough
rainbow,over
rainbow,colors
rainbow,gold
rainbow,sky
rainbow,sun
muffler,under
muffler,noise
muffler,car
muffler,exhaust
muffler,tailpipe
lawn mower,yard
lawn mower,cut
lawn mower,ride
lawn mower,grass
lawn mower,green
investment,future
investment,finances
investment,money
investment,save
investment,return
trash,can
trash,collector
trash,garbage
trash,rubbish
trash,compactor
affluent,rich
affluent,luxury
affluent,well-to-do
affluent,wealthy
affluent,money
dead end,street
dead end,exit
dead end,road
dead end,no
dead end,cul-de-sac
feather,wing
feather,pillow
feather,fly
feather,bird
feather,light
loch ness monster,scotland
loch ness monster,creature
loch ness monster,lake
loch ness monster,water
loch ness monster,neck
irritate,bug
irritate,nerves
irritate,aggravate
irritate,annoy
irritate,bother
kettle,tea
kettle,pot
kettle,water
kettle,boil
kettle,whistle
knuckle,brass
knuckle,hand
knuckle,joint
knuckle,finger
knuckle,crack
port,ship
port,dock
port,wine
port,harbor
port,starboard
award,honor
award,trophy
award,win
award,oscar
award,academy
porpoise,flipper
porpoise,dolphin
porpoise,mammal
porpoise,fish
porpoise,smart
bookie,gambler
bookie,bets
bookie,sports
bookie,illegal
bookie,money
tooth,cavity
tooth,dentist
tooth,mouth
tooth,chew
tooth,white
recipe,make
recipe,cook
recipe,instructions
recipe,food
recipe,ingredients
radon,basement
radon,gas
radon,test
radon,home
radon,toxic
loiter,nothing
loiter,standing
loiter,street corner
loiter,hang
loiter,police
ambulance,siren
ambulance,paramedics
ambulance,emergency
ambulance,hospital
ambulance,vehicle
vaccinate,arm
vaccinate,shot
vaccinate,immune
vaccinate,injection
vaccinate,child
treasure,buried
treasure,island
treasure,gold
treasure,chest
treasure,pirates
bandit,thief
bandit,robber
bandit,masked
bandit,steal
bandit,burglar
envelope,mail
envelope,stamp
envelope,address
envelope,letter
envelope,seal
dealer,casino
dealer,wheeler
dealer,sell
dealer,buy
dealer,car
beanstalk,jack
beanstalk,giant
beanstalk,climb
beanstalk,sky
beanstalk,vine
busybody,meddler
busybody,pry
busybody,nosy
busybody,gossip
busybody,business
linoleum,tile
linoleum,flooring
linoleum,kitchen
linoleum,walk
linoleum,covering
tarantula,spider
tarantula,black
tarantula,legs
tarantula,hairy
tarantula,web
baby,infant
baby,newborn
baby,toddler
baby,child
baby,pregnant
boardwalk,atlantic city
boardwalk,beach
boardwalk,pier
boardwalk,monopoly
boardwalk,wood
counterfeit,fake
counterfeit,phony
counterfeit,money
counterfeit,currency
counterfeit,dollars
perspire,sweat
perspire,hot
perspire,deodorant
perspire,wetness
perspire,armpit
casket,corpse
casket,bury
casket,coffin
casket,funeral
casket,dead
electric train,lionel
electric train,tracks
electric train,caboose
electric train,engine
electric train,toy
kitten,meow
kitten,cat
kitten,purr
kitten,animal
kitten,baby
clubhouse,building
clubhouse,members
clubhouse,meet
clubhouse,golf
clubhouse,belong
peel,banana
peel,rind
peel,skin
peel,covering
peel,orange
quilt,patchwork
quilt,cover
quilt,blanket
quilt,bed
quilt,sew
debut,premiere
debut,introduction
debut,first
debut,society
debut,coming-out
package,box
package,ups
package,mail
package,post office
package,gift
bait,worms
bait,fishing
bait,hook
bait,lure
bait,catch
pen,write
pen,ball-point
pen,felt-tip
pen,pal
pen,ink
kidnap,ransom
kidnap,abduct
kidnap,steal
kidnap,child
kidnap,hostage
andy warhol,painter
andy warhol,white
andy warhol,pop
andy warhol,artist
andy warhol,campbell’s soup
